MBIID	rating_mean_cat1	rating_mean_cat2	rating_mean_cat3	rating_mean_cat4	rating_mean_cat5	rating_mean_cat6	rating_mean_cat7	rating_mean_cat8	rating_mean_cat9
B037035	0.333	-0.889	1.889	-0.333	1.111	-1.889	0.889	0.111	0.333
B037307	2.111	1.667	2.667	0.333	2	-2	-1	1.778	-1.444
B037361	2.444	1.667	1.778	0.667	2.444	-2.889	0.222	1.667	-2.333
B037601	1.667	0.889	2.556	-0.333	2.111	-1	0.667	0.222	-0.556
B037634	2.778	1.333	2.556	1.222	2.778	-3	-1.444	0.333	-3
B037638	0.889	-0.667	1.333	-0.111	1.111	-2.889	-2.667	0.444	-2.778
B037750	0.111	1.333	2.333	0.444	2.778	-2.333	1.222	0.444	-0.556
B037828	0.889	0.889	2.778	0.222	2.111	-3	-0.111	0.889	-2.889
B038242	-1.111	-0.556	-0.111	-1.778	1.556	-1.778	-1	-1.111	-0.444
B038628	-0.667	-0.333	3	-1.778	2.667	-2.889	-2.556	-2.222	-0.222
B038722	0.333	0.667	0.222	0.111	1	-1.111	-0.778	0.222	-1.778
B040918	1.111	0.778	1.111	0.111	0.556	0.333	0.889	1	0.889
B041192	-0.889	0	0.889	0	0.556	-2.556	1	0.556	-0.556
B043426	0.444	0	0.667	-0.556	0.889	-2.222	-1.778	0.333	-0.444
B045908	-0.667	-0.444	1	-1	1.333	-2.444	-1.333	1.111	-2.333
B049778	2	0.889	2.667	0.111	2.444	-2.556	-2.111	0.556	-1.778
B050164	-0.556	-0.667	1.778	-1.222	0.778	-2.667	-2.444	-0.444	-3
B050578	1	0.556	1.778	-0.222	2	-3	-3	1.444	-3
B050627	1.667	1.222	2.889	0.333	2.778	-1.556	0.556	-0.444	-0.667
B051041	1.333	-1.556	1.111	-0.667	1.667	-2.111	-2	0.556	-2
B051085	0.889	0.556	1.444	0.222	2.111	-1.222	0.444	0	-1.556
B051258	1.778	1	0.889	-0.111	1.222	-1.778	0	1.222	-0.889
B051284	1.222	-1.333	2.889	-1.778	2.333	-3	-3	-2.778	-2.667
B051595	2.222	0.889	1.333	-0.222	2.222	-2.444	-0.111	0.111	-1.556
B051726	0	-0.111	0.889	0	1.111	-1.667	-0.667	0.333	-0.333
B051923	0.889	0.778	2.778	0.444	2.778	-2.889	-2.222	1.556	-1.556
B051983	2.444	0.778	2.111	0.111	0.889	-1.778	-1.333	1.222	-1.889
B060579	1.556	0.556	2.111	-0.778	2.778	-2.778	-2.556	-1.556	-1.778
B060938	1.778	-1.222	2.556	-0.222	2.333	-2.778	-2	-2.444	-2.667
B060941	2.333	-0.444	2.444	-0.444	2.444	-3	-0.222	-2.889	-3
B060986	1.778	0.778	2.667	-0.111	1.778	-2.111	-1.444	0	-2.333
B061225	0.333	0.556	0.556	-0.222	1	-1.889	-0.667	1.222	-0.667
B061753	1.222	1.111	1.667	-0.222	1.333	-2.444	-0.889	1	-0.222
B062066	1	-0.111	2.222	-0.111	2.556	-3	-2.444	-1.333	-2.889
B062168	1.556	0.778	2.778	0	2.111	-2.667	-2	0.444	-1.556
B063886	0.667	-0.444	1.556	0	-0.111	-0.111	0.222	0.444	-0.222
B065372	1.889	0.333	2.667	0	1.444	-2.778	-2.556	1.556	-2.778
B066081	1.222	-1.333	1.889	-0.333	0.444	-2.444	-2.556	-0.667	-2.444
B066118	1	0.333	0.222	0	1.222	-1.111	-0.667	0.556	-2.556
B066148	0	-0.333	0.556	0.111	1.111	-1.333	-0.333	-0.889	-0.222
B066347	1.889	1.333	1.444	-0.111	1.889	-2.889	-2.889	1.667	-2.111
B066367	-0.333	0.333	1.667	-0.556	0.778	-3	-2.667	-0.333	-1.444
B066547	1.667	0.667	0.444	-0.333	1.556	-3	-2.333	1.111	-1.889
B066592	1.222	0.111	1.667	0	1.778	-2.556	-1.889	0.778	-1.889
B066755	0.889	-0.333	3	0.333	2.889	-3	-2.222	-2.667	-0.333
B066778	1.444	0	1.778	-0.556	2.111	-2.222	-2.889	0.667	-2.889
B066785	0.778	0.556	1.889	-0.111	1.222	-3	-2.667	0.778	-2.333
B069181	-0.333	-0.667	0.333	-0.444	0.333	-1.111	-0.556	-0.333	-0.778
B069579	1.778	-0.222	1.333	-0.333	1.222	-3	-3	1.444	-2.667
B069822	1.667	0.889	2.667	-0.444	2.222	-2.556	-0.889	-2.556	-2.778
B070649	1.444	0.333	2.111	-0.556	2.222	-2.889	-0.222	-0.111	-1.667
B070736	0.444	-0.222	0.333	0	0.556	-1.333	-1.333	0.333	-1.222
B070866	2.111	0.667	2.667	0.333	2.778	-2.889	-2.889	1	-2.444
B071047	1.333	0.111	1.778	-0.778	2.111	-3	-2.333	0.444	-2.889
B071166	1.667	0.556	1.333	-0.222	0.889	-2.222	-2.111	1	-3
B074031	2.556	1.222	0.889	0.111	2.889	-2.889	-2.667	1.778	-2.222
B075060	1.222	0.778	2	-0.667	2.444	-2.556	-2.889	0.111	-3
B075159	2.222	0.333	1.444	0.222	2.222	-2.889	-1.444	-0.333	-2.889
B075199	0	-0.111	0.889	-0.111	1.111	-0.667	0.556	0.333	-0.667
B075465	1.333	0.111	0.778	-0.111	1.222	-2.333	-1.667	0.111	-1.889
B075613	1.444	-1.333	2.667	-0.667	2	-3	-3	-0.667	-3
B075643	0.333	-1.556	1.222	-0.444	-0.667	-2	-1.222	-2.444	-0.778
B075740	1.667	1.667	2.111	-0.111	3	-2.556	-1.444	1.222	-2.333
B075764	0.333	0.444	1.333	-0.111	2.778	-2.889	-1.667	-1.556	-2.444
B076000	-0.111	-0.111	0.333	-0.111	1.444	-1.111	-0.778	0.778	-1.778
B076132	1.333	0.667	2.667	-0.222	2.778	-3	-2.222	0.444	-1.333
B076257	1.778	-0.222	2.556	-0.111	2.444	-2.889	-2.111	1.111	-2.556
B080012	0.222	-1.222	2.667	-0.667	1.556	-3	-2.889	0.222	-2.778
B081552	0.778	0.667	1	0.222	1	-0.889	-0.222	-0.111	0.667
B082597	1.667	1.111	1.889	-0.333	0.889	-2.778	-3	1.222	-0.889
B088012	1.111	0.778	1.333	0.111	1.778	-2.889	-0.222	1.667	-1.111
B088095	0	0	0	0	0	0	0	0.556	-0.222
B088271	0	-0.556	1.111	-0.222	2.111	-3	-2.778	-2.111	-3
B088393	1.667	0	1.111	0	1.111	-1.778	-0.222	1.556	-1.333
B088460	2.444	-0.222	2.778	-0.556	1.667	-3	-3	1.333	-3
B088476	1.222	-0.556	2.333	-0.222	1.667	-2.667	-1.444	-0.889	-1.444
B088761	2.667	-0.111	3	-0.333	2.667	-3	-3	-3	-2.667
B088813	0.111	1.444	1.111	0	2.778	-2.444	-2.333	1.222	-1.889
B088856	1.444	1	2	0.556	2.222	-2.667	-2.778	2.333	-2.111
B089519	1.111	0.667	0.778	-0.889	2.111	-3	-3	0.333	-2.889
B090013	1.333	0.667	1.556	0.667	2.444	-2.889	-2.444	1.778	-3
B090093	1.111	-0.222	0.222	-0.111	0.889	-2.778	-2.889	1	-2.444
B090097	1.111	0.667	2.111	0	1.889	-1.778	0.222	0.333	-1.111
B090215	2.778	-0.111	2.111	-0.444	2.333	-2.667	-2.111	0.444	0.556
B090346	2.333	1.333	2.111	-0.222	2.333	-3	-2.556	0.333	-2.556
B090469	1.333	0.889	0.667	1.444	2.111	-1.778	0.889	0.333	-0.778
B091054	1	0	1.556	0.111	1.556	-0.333	0.444	0.444	0.111
B091116	0.778	-0.222	1.444	0.556	2	0.111	2.556	1.444	2.111
B091355	0	0	0	0	0	0	0	0	0
B092027	0.889	0.111	2	-0.556	2.111	-2.556	-3	-0.667	-2.556
B092053	2.111	1.667	1.889	0.778	2.111	-2	-1.778	0.667	-1.667
B092287	2.222	0.444	2.556	-0.778	2.667	-3	-1.889	0.222	-2.667
B092429	0.333	0.444	2.333	-0.111	2.667	-3	-3	-2.222	-3
B094292	-1.444	-1.778	-1.111	-1.444	-1.222	-3	-2.889	-1.667	-3
